model,min,mean,p50,p95,max
gemma-3-1b-it,298,547.27,543,667,1319
Llama-3.1-8B-Instruct,275,527.05,523,647,1306
Llama-3.2-1B-Instruct,275,527.05,523,647,1306
Qwen3-0.6B,276,529.07,525,650,1307
OLMo-2-0425-1B-Instruct,274,526.07,522,646,1305
